book_id,title,genres
0,"The Hunger Games (The Hunger Games, #1)",Fantasy:Young-Adult:Fiction
1,"Harry Potter and the Sorcerer's Stone (Harry Potter, #1)",Fantasy:Young-Adult:Fiction
2,"Twilight (Twilight, #1)",Fantasy:Young-Adult:Fiction:Romance
3,To Kill a Mockingbird,Classics:Historical
4,The Great Gatsby,Classics:Fiction
5,The Fault in Our Stars,Young-Adult:Fiction:Romance
6,The Hobbit,Fantasy:Young-Adult:Fiction
7,The Catcher in the Rye,Young-Adult:Fiction:Coming-of-Age
8,"Angels & Demons  (Robert Langdon, #1)",Thriller:Fiction:Crime
9,Pride and Prejudice,Classics:Fiction:Historical:Romance
10,The Kite Runner,Fiction:Historical
11,"Divergent (Divergent, #1)",Young-Adult:Fiction
12,1984,Classics:Fiction
13,Animal Farm,Fiction:Satire
14,The Diary of a Young Girl,Biography:Autobiography
15,"The Girl with the Dragon Tattoo (Millennium, #1)",Thriller:Fiction:Crime
16,"Catching Fire (The Hunger Games, #2)",Fantasy:Young-Adult:Fiction
17,"Harry Potter and the Prisoner of Azkaban (Harry Potter, #3)",Fantasy:Young-Adult:Fiction
18,"The Fellowship of the Ring (The Lord of the Rings, #1)",Fantasy:Young-Adult:Fiction
19,"Mockingjay (The Hunger Games, #3)",Fantasy:Young-Adult:Fiction
20,"Harry Potter and the Order of the Phoenix (Harry Potter, #5)",Fantasy:Young-Adult:Fiction
21,The Lovely Bones,Fiction
22,"Harry Potter and the Chamber of Secrets (Harry Potter, #2)",Fantasy:Young-Adult:Fiction
23,"Harry Potter and the Goblet of Fire (Harry Potter, #4)",Fantasy:Young-Adult:Fiction
24,"Harry Potter and the Deathly Hallows (Harry Potter, #7)",Fantasy:Young-Adult:Fiction
25,"The Da Vinci Code (Robert Langdon, #2)",Thriller:Fiction:Crime
26,"Harry Potter and the Half-Blood Prince (Harry Potter, #6)",Fantasy:Young-Adult:Fiction
27,Lord of the Flies,Young-Adult:Fiction
28,Romeo and Juliet,Romance:Tragedy:Fiction:Historical
29,Gone Girl,Mystery:Fiction:Thriller
